SimTime,Lat,Lon,Alt,qw,qx,qy,qz,Vx,Vy,Vz
144.53,39.4786406,-0.3463294,52.21,0.7,0.0,-0.0,0.7,0.05,0.02,-1.18
144.56,39.4786406,-0.3463294,52.25,0.7,0.0,-0.0,0.7,0.05,0.02,-1.18
144.59,39.4786406,-0.3463294,52.27,0.7,0.0,-0.0,0.7,0.05,0.02,-1.19
144.62,39.4786406,-0.3463294,52.32,0.7,0.0,-0.0,0.7,0.05,0.02,-1.2
144.66,39.4786406,-0.3463294,52.37,0.7,0.0,-0.0,0.7,0.05,0.02,-1.2
144.7,39.4786406,-0.3463294,52.4,0.7,0.0,-0.0,0.7,0.05,0.01,-1.21
144.73,39.4786406,-0.3463294,52.45,0.7,0.0,-0.0,0.7,0.05,0.01,-1.21
144.76,39.4786406,-0.3463294,52.5,0.7,0.0,-0.0,0.7,0.05,0.01,-1.22
144.79,39.4786406,-0.3463294,52.52,0.7,0.0,-0.0,0.7,0.05,0.01,-1.22
144.82,39.4786406,-0.3463293,52.58,0.7,0.0,-0.0,0.7,0.05,0.01,-1.23
144.86,39.4786406,-0.3463293,52.63,0.7,0.0,-0.0,0.7,0.05,0.01,-1.23
144.9,39.4786406,-0.3463293,52.66,0.7,0.0,-0.0,0.7,0.05,0.01,-1.24
144.93,39.4786406,-0.3463293,52.72,0.7,0.0,-0.0,0.7,0.05,0.01,-1.24
144.96,39.4786406,-0.3463293,52.77,0.7,0.0,-0.0,0.7,0.05,0.01,-1.25
144.99,39.4786406,-0.3463293,52.79,0.7,0.0,-0.0,0.7,0.05,0.01,-1.25
145.02,39.4786406,-0.3463292,52.84,0.7,0.0,-0.0,0.7,0.05,0.01,-1.26
145.06,39.4786406,-0.3463292,52.9,0.7,0.0,-0.0,0.7,0.05,0.01,-1.26
145.1,39.4786406,-0.3463292,52.93,0.7,0.0,-0.0,0.7,0.05,0.01,-1.27
145.13,39.4786406,-0.3463292,52.98,0.7,0.0,-0.0,0.7,0.05,0.01,-1.27
145.16,39.4786406,-0.3463292,53.03,0.7,0.0,-0.0,0.7,0.05,0.01,-1.27
145.19,39.4786406,-0.3463292,53.05,0.7,0.0,-0.0,0.7,0.05,0.01,-1.28
145.22,39.4786406,-0.3463292,53.11,0.7,0.0,-0.0,0.7,0.05,0.01,-1.28
145.26,39.4786406,-0.3463291,53.17,0.7,0.0,-0.0,0.7,0.05,0.01,-1.29
145.3,39.4786406,-0.3463291,53.2,0.7,0.0,-0.0,0.7,0.05,0.01,-1.29
145.33,39.4786407,-0.3463291,53.25,0.7,0.0,-0.0,0.7,0.05,0.01,-1.3
145.36,39.4786407,-0.3463291,53.31,0.7,0.0,-0.0,0.7,0.05,0.01,-1.3
145.39,39.4786407,-0.3463291,53.33,0.7,0.0,-0.0,0.7,0.05,0.01,-1.3
145.42,39.4786407,-0.3463291,53.39,0.7,0.0,-0.0,0.7,0.05,0.0,-1.31
145.46,39.4786407,-0.3463291,53.44,0.7,0.0,-0.0,0.7,0.05,0.0,-1.31
145.5,39.4786407,-0.3463291,53.47,0.7,0.0,-0.0,0.7,0.05,0.0,-1.31
145.53,39.4786407,-0.3463291,53.53,0.7,0.0,-0.0,0.7,0.05,0.0,-1.32
